subject,F0,F0_range,speech_rate,vowel_duration,early_F0,early_F0_range,early_speech_rate,early_vowel_duration,late_F0,late_F0_range,late_speech_rate,late_vowel_duration,group
CHF_10,205.21,21.94,2.67,0.17,205.91,21.78,2.61,0.18,203.85,22.15,2.74,0.17,native
CHF_09,230.67,28.9,3.34,0.11,228.67,27.6,3.51,0.12,234.03,29.9,3.46,0.1,native
KOF_16,184.03,27.36,2.56,0.15,181.67,29.45,2.35,0.16,184.81,24.77,2.76,0.14,native
KOF_09,207.12,49.07,2.03,0.17,203.29,25.3,2.15,0.17,254.2,50.52,1.86,0.17,native
CH_09,105.62,13.87,3.43,0.11,105.22,13.92,3.47,0.11,106.05,14.05,3.39,0.12,native
CH_10,129.88,22.47,3.32,0.13,128.78,19.08,3.18,0.13,130.95,25.3,3.45,0.13,native
KO_10,102.18,19.33,3,0.13,100.8,17.62,3.06,0.13,103.16,20.2,2.95,0.14,native
KO_12,116.79,19.03,2.73,0.15,114.81,19.46,2.82,0.15,118.18,18.38,2.67,0.16,native
CH_04,127.55,25.67,3.45,0.15,125.36,26.09,3.55,0.14,130.06,25.45,3.32,0.15,L2_same_L1
CH_05,124.56,23.16,3.34,0.13,122.5,21.08,3.28,0.14,127.04,24.57,3.41,0.13,L2_same_L1
KO_04,107.06,19.21,2.61,0.16,105.39,18.67,2.59,0.16,109.1,19.39,2.64,0.15,L2_same_L1
KO_17,139.19,23.73,3.18,0.13,140.32,23.22,3.21,0.12,137.83,24.3,3.14,0.13,L2_same_L1
CHF_07,223.5,32.39,3.2,0.13,219.68,32.24,3.3,0.13,228.22,32.14,3.09,0.13,L2_same_L1
CHF_05,221.24,29.05,3.57,0.11,221.25,28.92,3.51,0.12,221.2,29.12,3.62,0.11,L2_same_L1
KOF_06,188.31,25.76,3.06,0.13,187.52,25.05,3.1,0.13,189.35,26.13,3.01,0.14,L2_same_L1
KOF_10,222.33,11.71,2.83,0.14,220.89,14.66,2.79,0.15,222.59,11.49,2.87,0.14,L2_same_L1
CH_01,168.38,29.32,3,0.15,178.48,27.83,2.9,0.15,160.55,8.52,3.1,0.15,L2_diff_L1
RU_01,188.09,38.24,3.46,0.13,189.19,34.95,3.37,0.13,186.92,42.85,3.55,0.13,L2_diff_L1
CH_02,139.48,28.47,3.02,0.15,136.71,25.92,2.92,0.15,144.56,32.62,3.14,0.15,L2_diff_L1
KO_08,151.37,24.92,3.39,0.15,151.93,24.6,3.44,0.14,150.64,25.16,3.35,0.15,L2_diff_L1
CHF_08,260.86,31.31,2.84,0.13,262.95,31.6,2.8,0.13,259.03,30.8,2.87,0.14,L2_diff_L1
MAF_01,244.15,28.11,3.41,0.13,243.72,27.94,3.53,0.13,244.47,28.19,3.3,0.12,L2_diff_L1
KOF_03,226.75,38.8,2.82,0.16,224.28,37.9,2.78,0.15,228.73,39.89,2.85,0.16,L2_diff_L1
CHF_04,220.63,42.58,3.56,0.12,219.98,40.63,3.63,0.12,221.18,44.46,3.48,0.12,L2_diff_L1
